Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
"Erlotinib","1","NCI-H1648","687799","LUAD","lung","lung_NSCLC_adenocarcinoma","-3.1303150474520955",".34997160762064805","2",".044001252761355282","-5.0649865172250799","GDSC1"
"Erlotinib","1","NCI-H1650","687800","LUAD","lung","lung_NSCLC_adenocarcinoma","3.6618426330341749",".98329783249432512","2",".033400942518232619","1.0256713011412051","GDSC1"
"Erlotinib","1","NCI-H1838","687807","LUAD","lung","lung_NSCLC_adenocarcinoma","2.3228375905977003",".93120850375216935","2",".057085090702433332","-.175040153773623","GDSC1"
"Erlotinib","1","Calu-6","724859","LUAD","lung","lung_NSCLC_adenocarcinoma","3.0090745940223429",".97384975352471193","2",".070585111391664318",".44032170423632211","GDSC1"
"Erlotinib","1","NCI-H1355","724866","LUAD","lung","lung_NSCLC_adenocarcinoma",".95476992654456061",".85281359976616966","2",".20629717265177372","-1.4018126178549948","GDSC1"
"Erlotinib","1","LXF-289","753592","LUAD","lung","lung_NSCLC_adenocarcinoma","1.7969005502245958",".94767818009164007","2",".17937273893981026","-.64665796619866378","GDSC1"
"Erlotinib","1","NCI-H23","905942","LUAD","lung","lung_NSCLC_adenocarcinoma","3.1452538154026248",".98795377563467057","2",".04106637208411535",".5624362190070491","GDSC1"
"Erlotinib","1","NCI-H322M","905967","LUAD","lung","lung_NSCLC_adenocarcinoma","1.134468066946297",".8576325214250875","2",".10109925680099874","-1.2406738552894352","GDSC1"
"Erlotinib","1","EKVX","905970","LUAD","lung","lung_NSCLC_adenocarcinoma","-1.0973183569122458",".61203222591232398","2",".16409273826055584","-3.2419594659651576","GDSC1"
"Erlotinib","1","HOP-62","905972","LUAD","lung","lung_NSCLC_adenocarcinoma","2.7543277922952325",".97658313954591192","2",".13118939861524337",".21188537035958135","GDSC1"
"Erlotinib","1","LC-2-ad","907786","LUAD","lung","lung_NSCLC_adenocarcinoma","1.1677323992425945",".91101380385294362","2",".1142908051952542","-1.2108450917206435","GDSC1"
"Erlotinib","1","NCI-H1666","908473","LUAD","lung","lung_NSCLC_adenocarcinoma","3.7626735749226548",".98459545964295136","2",".028535557328386217","1.1160883369987029","GDSC1"
"Erlotinib","1","NCI-H1975","924244","LUAD","lung","lung_NSCLC_adenocarcinoma","2.3048912873034353",".94978159808906781","2",".14010352497393208","-.19113294749424264","GDSC1"
"Rapamycin","3","NCI-H1648","687799","LUAD","lung","lung_NSCLC_adenocarcinoma","-2.5290887100700918",".82727754725831981",".10000000000000001",".22355370630323912","-.13719915143465722","GDSC1"
"Rapamycin","3","NCI-H1650","687800","LUAD","lung","lung_NSCLC_adenocarcinoma",".66151691865521289",".98323558762786156",".10000000000000001",".030011901736485724","1.4556460918522494","GDSC1"
"Rapamycin","3","NCI-H1838","687807","LUAD","lung","lung_NSCLC_adenocarcinoma",".049171210956213261",".95638125963114184",".10000000000000001",".11201280897436186","1.1499448986448699","GDSC1"
